iter	Passed	Remaining
404	5587	8208
405	5600	8193
406	5613	8179
407	5619	8153
408	5628	8133
409	5637	8113
410	5651	8099
411	5665	8085
412	5678	8070
413	5691	8056
414	5704	8041
415	5719	8029
416	5727	8007
417	5738	7989
418	5746	7968
419	5755	7948
420	5764	7927
421	5777	7912
422	5791	7900
423	5806	7888
424	5820	7875
425	5835	7862
426	5850	7850
427	5860	7832
428	5875	7820
429	5895	7814
430	5908	7800
431	5923	7788
432	5938	7776
433	5952	7762
434	5966	7749
435	5976	7731
436	5985	7710
437	5998	7696
438	6012	7683
439	6021	7663
440	6030	7644
441	6039	7624
442	6054	7612
443	6068	7599
444	6077	7579
445	6091	7566
446	6099	7546
447	6113	7533
448	6127	7520
449	6141	7506
450	6153	7490
451	6183	7496
452	6208	7496
453	6223	7484
454	6238	7471
455	6252	7459
456	6270	7450
457	6279	7431
458	6293	7417
459	6306	7402
460	6366	7444
461	6446	7506
462	6475	7510
463	6495	7503
464	6509	7489
465	6523	7474
466	6541	7465
467	6554	7451
468	6574	7443
469	6587	7428
470	6602	7415
471	6616	7401
472	6627	7383
473	6640	7368
474	6653	7354
475	6666	7338
476	6680	7325
477	6693	7309
478	6707	7295
479	6721	7282
480	6730	7262
481	6745	7248
482	6755	7230
483	6769	7217
484	6783	7203
485	6797	7189
486	6811	7174
487	6825	7161
488	6840	7147
489	6854	7134
490	6866	7118
491	6881	7105
492	6895	7091
493	6905	7073
494	6914	7054
495	6924	7036
496	6935	7018
497	6949	7004
498	6962	6990
499	6976	6976
500	6989	6961
501	7003	6947
502	7012	6928
503	7020	6909
504	7034	6895
505	7048	6881
506	7062	6867
507	7072	6850
508	7085	6834
509	7099	6820
510	7112	6806
511	7126	6792
512	7140	6778
513	7156	6766
514	7169	6752
515	7184	6739
516	7197	6724
517	7211	6710
518	7222	6693
519	7236	6679
520	7249	6665
521	7263	6650
522	7276	6636
523	7290	6622
524	7303	6608
525	7318	6594
526	7327	6576
527	7342	6563
528	7355	6549
529	7370	6536
530	7385	6523
531	7400	6510
532	7415	6497
533	7429	6483
534	7440	6466
535	7457	6455
536	7466	6437
537	7478	6422
538	7493	6409
539	7510	6397
540	7526	6386
541	7540	6371
542	7553	6357
543	7567	6343
544	7582	6329
545	7595	6315
546	7608	6301
547	7621	6285
548	7634	6271
549	7643	6253
550	7656	6239
551	7669	6224
552	7680	6207
553	7693	6193
554	7706	6179
555	7720	6165
556	7734	6151
557	7749	6138
558	7766	6126
559	7782	6114
560	7798	6102
561	7818	6093
562	7846	6090
563	7865	6080
564	7883	6069
565	7899	6057
566	7914	6044
567	7933	6033
568	7950	6021
569	7965	6008
570	7979	5995
571	7991	5979
572	8008	5967
573	8019	5951
574	8034	5938
575	8052	5927
576	8066	5913
577	8080	5899
578	8091	5883
579	8106	5870
580	8116	5853
581	8130	5839
582	8140	5822
583	8154	5809
584	8169	5795
585	8184	5782
586	8198	5768
587	8212	5754
588	8222	5737
589	8235	5722
590	8249	5709
591	8262	5694
592	8275	5679
593	8290	5666
594	8301	5650
595	8316	5637
596	8332	5624
597	8342	5608
598	8360	5597
599	8385	5590
600	8405	5580
601	8427	5571
602	8442	5558
603	8457	5545
604	8472	5531
605	8488	5518
606	8503	5505
607	8524	5495
608	8538	5482
609	8553	5468
610	8569	5455
611	8584	5442
612	8598	5428
613	8614	5415
614	8625	5399
615	8638	5385
616	8652	5371
617	8665	5356
618	8678	5341
619	8689	5325
620	8702	5311
621	8716	5297
622	8727	5281
623	8741	5267
624	8755	5253
625	8770	5239
626	8785	5226
627	8800	5212
628	8814	5199
629	8831	5186
630	8846	5173
631	8861	5159
632	8877	5147
633	8897	5136
634	8911	5122
635	8926	5108
636	8939	5094
637	8953	5080
638	8966	5065
639	8979	5051
640	8993	5037
641	9007	5022
642	9021	5008
643	9038	4996
644	9052	4982
645	9061	4965
646	9076	4952
647	9090	4938
648	9104	4923
649	9122	4912
650	9135	4897
651	9149	4883
652	9162	4869
653	9169	4850
654	9182	4836
655	9195	4822
656	9208	4807
657	9222	4793
658	9235	4778
659	9250	4765
660	9263	4750
661	9277	4736
662	9290	4722
663	9304	4708
664	9318	4694
665	9331	4680
666	9352	4669
667	9366	4655
668	9380	4641
669	9409	4634
670	9425	4621
671	9447	4611
672	9463	4597
673	9481	4586
674	9502	4575
675	9520	4563
676	9538	4550
677	9555	4538
678	9572	4525
679	9590	4513
680	9606	4499
681	9624	4487
682	9638	4473
683	9652	4459
684	9669	4446
685	9682	4432
686	9697	4418
687	9709	4403
688	9725	4390
689	9740	4376
690	9750	4360
691	9766	4346
692	9781	4333
693	9797	4319
694	9810	4305
695	9826	4291
696	9840	4277
697	9855	4264
698	9873	4251
699	9890	4238
700	9906	4225
701	9920	4211
702	9936	4198
703	9952	4184
704	9967	4170
705	10016	4171
706	10049	4164
707	10079	4157
708	10095	4143
709	10128	4137
710	10166	4132
711	10190	4121
712	10225	4115
713	10273	4114
714	10317	4112
715	10354	4107
716	10374	4094
717	10389	4080
718	10408	4067
719	10432	4057
720	10449	4043
721	10466	4029
722	10482	4016
723	10499	4002
724	10515	3988
725	10529	3973
726	10548	3961
727	10567	3948
728	10587	3935
729	10611	3924
730	10634	3913
731	10650	3899
732	10671	3887
733	10694	3875
734	10714	3863
735	10734	3850
736	10754	3837
737	10772	3824
738	10793	3811
739	10810	3798
740	10832	3786
741	10858	3775
742	10877	3762
743	10897	3749
744	10918	3737
745	10935	3723
746	10957	3711
747	10974	3697
748	10991	3683
749	11013	3671
750	11029	3656
751	11045	3642
752	11063	3628
753	11079	3614
754	11098	3601
755	11117	3588
756	11136	3574
757	11160	3563
758	11179	3549
759	11196	3535
760	11216	3522
761	11234	3508
762	11256	3496
763	11275	3482
764	11313	3475
765	11337	3463
766	11367	3453
767	11425	3451
768	11450	3439
769	11491	3432
770	11530	3424
771	11561	3414
772	11588	3402
773	11628	3395
774	11642	3380
775	11656	3364
776	11666	3348
777	11680	3333
778	11700	3319
779	11716	3304
780	11737	3291
781	11752	3276
782	11768	3261
783	11785	3247
784	11809	3234
785	11831	3221
786	11846	3206
787	11862	3191
788	11885	3178
789	11906	3165
790	11923	3150
791	11940	3135
792	11960	3122
793	11979	3108
794	12001	3094
795	12020	3080
796	12039	3066
797	12053	3051
798	12072	3036
799	12086	3021
800	12110	3008
801	12130	2994
802	12159	2983
803	12180	2969
804	12202	2955
805	12223	2942
806	12244	2928
807	12262	2913
808	12285	2900
809	12310	2887
810	12322	2871
811	12342	2857
812	12365	2844
813	12386	2830
814	12407	2816
815	12427	2802
816	12447	2788
817	12464	2773
818	12487	2759
819	12503	2744
820	12522	2730
821	12539	2715
822	12560	2701
823	12579	2686
824	12595	2671
825	12618	2658
826	12638	2643
827	12664	2630
828	12693	2618
829	12709	2603
830	12731	2589
831	12750	2574
832	12768	2559
833	12787	2545
834	12803	2530
835	12814	2513
836	12829	2498
837	12852	2484
838	12866	2469
839	12885	2454
840	12904	2439
841	12923	2425
842	12940	2410
843	12957	2394
844	12977	2380
845	12995	2365
846	13009	2350
847	13035	2336
848	13051	2321
849	13070	2306
850	13094	2292
851	13113	2277
852	13135	2263
853	13152	2248
854	13170	2233
855	13185	2218
856	13203	2203
857	13219	2187
858	13229	2171
859	13249	2156
860	13269	2142
861	13280	2126
862	13289	2109
863	13310	2095
864	13326	2079
865	13341	2064
866	13368	2050
867	13385	2035
868	13405	2020
869	13432	2007
870	13468	1994
871	13517	1984
872	13551	1971
873	13584	1958
874	13614	1944
875	13649	1932
876	13673	1917
877	13704	1904
878	13731	1890
879	13761	1876
880	13791	1862
881	13828	1850
882	13855	1835
883	13891	1822
884	13914	1808
885	13931	1792
886	13950	1777
887	13964	1761
888	13981	1745
889	13995	1729
890	14011	1714
891	14029	1698
892	14046	1683
893	14060	1667
894	14075	1651
895	14089	1635
896	14104	1619
897	14143	1606
898	14172	1592
899	14191	1576
900	14205	1560
901	14219	1544
902	14233	1528
903	14246	1512
904	14260	1496
905	14274	1481
906	14290	1465
907	14304	1449
908	14317	1433
909	14333	1417
910	14347	1401
911	14366	1386
912	14386	1370
913	14403	1355
914	14418	1339
915	14433	1323
916	14452	1308
917	14467	1292
918	14484	1276
919	14499	1260
920	14514	1244
921	14529	1229
922	14544	1213
923	14559	1197
924	14575	1181
925	14592	1166
926	14609	1150
927	14625	1134
928	14640	1118
929	14655	1103
930	14673	1087
931	14692	1071
932	14709	1056
933	14720	1040
934	14735	1024
935	14749	1008
936	14763	992
937	14781	977
938	14794	961
939	14810	945
940	14825	929
941	14839	913
942	14869	898
943	14891	883
944	14912	867
945	14926	852
946	14941	836
947	14952	820
948	14968	804
949	14984	788
950	14997	772
951	15011	756
952	15025	741
953	15038	725
954	15055	709
955	15071	693
956	15089	678
957	15099	662
958	15114	646
959	15129	630
960	15144	614
961	15160	598
962	15177	583
963	15191	567
964	15208	551
965	15218	535
966	15232	519
967	15247	504
968	15262	488
969	15276	472
970	15291	456
971	15304	440
972	15318	425
973	15331	409
974	15346	393
975	15371	377
976	15385	362
977	15408	346
978	15424	330
979	15438	315
980	15452	299
981	15470	283
982	15484	267
983	15497	251
984	15510	236
985	15527	220
986	15541	204
987	15557	188
988	15572	173
989	15586	157
990	15601	141
991	15618	125
992	15633	110
993	15649	94
994	15676	78
995	15697	63
996	15725	47
997	15751	31
998	15779	15
999	15800	0
