iter	Logloss
0	0.684279446
1	0.6756692006
2	0.6652929547
3	0.6567000517
4	0.6481732684
5	0.6398681933
6	0.6340365143
7	0.6280732499
8	0.6205207327
9	0.6133333397
10	0.6056546976
11	0.5982962351
12	0.592527033
13	0.5858927042
14	0.5790116439
15	0.575878699
16	0.5692723775
17	0.5634679505
18	0.5582722457
19	0.5533698187
20	0.5485292041
21	0.5458432004
22	0.5412070911
23	0.5367927062
24	0.532963275
25	0.5288437237
26	0.5250228361
27	0.520798991
28	0.51704969
29	0.515216047
30	0.511656308
31	0.5085421769
32	0.5068970462
33	0.5024479835
34	0.4993167928
35	0.4975820407
36	0.4939497589
37	0.4915699318
38	0.4897452245
39	0.4871555301
40	0.4834855369
41	0.4814787948
42	0.4784464484
43	0.4770146874
44	0.47563714
45	0.4743295818
46	0.4712589499
47	0.4698862653
48	0.4687945111
49	0.467092082
50	0.4663623033
51	0.4650291127
52	0.4629953346
53	0.4610945091
54	0.4595464802
55	0.4587770546
56	0.456736361
57	0.4551705882
58	0.4540780731
59	0.4530216732
60	0.4523864718
61	0.451027608
62	0.449399406
63	0.4480234386
64	0.4474726267
65	0.446206732
66	0.4449901906
67	0.4441718432
68	0.442446315
69	0.4407781147
70	0.439831033
71	0.4389980808
72	0.437403233
73	0.4366781846
74	0.4352588171
75	0.4343705142
76	0.4328913592
77	0.4316865516
78	0.4312139604
79	0.4303054081
80	0.4296606709
81	0.4281936496
82	0.4278875047
83	0.4268883193
84	0.4258006232
85	0.424857783
86	0.4238211688
87	0.4226602387
88	0.4216584671
89	0.4213356723
90	0.4205383509
91	0.4198839816
92	0.4194210289
93	0.4183903774
94	0.4173758149
95	0.4167894877
96	0.4158971799
97	0.4154174545
98	0.4149764465
99	0.414519746
100	0.4139847558
101	0.4134864646
102	0.4129255468
103	0.4124918484
104	0.4116992394
105	0.4112313174
106	0.4103718169
107	0.4097909397
108	0.4090574015
109	0.4082589682
110	0.4078440087
111	0.4075231103
112	0.40683592
113	0.406309442
114	0.4060204271
115	0.4056776624
116	0.4051174862
117	0.4045740995
118	0.4038958971
119	0.4034139116
120	0.4028994638
121	0.4025319156
122	0.4020441883
123	0.4015228491
124	0.4007243206
125	0.4003707495
126	0.399823474
127	0.3993655167
128	0.3989981611
129	0.3987374647
130	0.3985515269
131	0.398191824
132	0.397577778
133	0.3972428103
134	0.3970625389
135	0.3963790548
136	0.3959765652
137	0.3957312176
138	0.3954276068
139	0.3950454575
140	0.3943955325
141	0.394207558
142	0.3939080703
143	0.3938328192
144	0.3932043826
145	0.3930092941
146	0.3920962363
147	0.3918654424
148	0.3916885827
149	0.3914198151
150	0.3909128649
151	0.3905713955
152	0.3903194356
153	0.3901480187
154	0.389942868
155	0.3896534986
156	0.3895240545
157	0.3893526534
158	0.3888905741
159	0.388448235
160	0.3880050829
161	0.3875738765
162	0.3870967407
163	0.3868770275
164	0.3866278166
165	0.3863387302
166	0.3862157896
167	0.3859696454
168	0.3858254003
169	0.3853824191
170	0.3852932955
171	0.3848308018
172	0.3845126842
173	0.3844558715
174	0.3844138707
175	0.384097209
176	0.3838101156
177	0.3835042768
178	0.3834434612
179	0.3833604549
180	0.383298723
181	0.3831728662
182	0.3831042034
183	0.3827598517
184	0.382631959
185	0.3823968431
186	0.3821236962
187	0.381771415
188	0.3815232897
189	0.3813285162
190	0.3810788176
191	0.3808708427
192	0.3805961577
193	0.3803541423
194	0.3802988974
195	0.3802033858
196	0.3800401474
197	0.3797329025
198	0.3797057937
199	0.379531128
200	0.3793718387
201	0.3792496936
202	0.3792024963
203	0.3791775968
204	0.3790869652
205	0.3787821142
206	0.3786969513
207	0.3785450076
208	0.3781973735
209	0.3780966089
210	0.3779490873
211	0.3776646524
212	0.3774872911
213	0.377481846
214	0.377385767
215	0.3772890691
216	0.3771406868
217	0.3769998851
218	0.376712788
219	0.3764005811
220	0.3761340151
221	0.3759949402
222	0.3759487802
223	0.3757328692
224	0.3756044602
225	0.3753860169
226	0.3751347836
227	0.3748596554
228	0.3747675938
229	0.3745611912
230	0.3745262524
231	0.3742661094
232	0.3740146998
233	0.373994941
234	0.3738802556
235	0.3737280028
236	0.3736807869
237	0.3735667207
238	0.373412687
239	0.37336614
240	0.373327637
241	0.3733098841
242	0.3731415966
243	0.3729251133
244	0.3726906491
245	0.3726675687
246	0.3725216696
247	0.3722829241
248	0.3720868608
249	0.3720711164
250	0.3718372439
251	0.3717313601
252	0.3715911808
253	0.3713443656
254	0.3713013001
255	0.3711622698
256	0.3709889179
257	0.3709320175
258	0.3708124767
259	0.3707859454
260	0.3707407196
261	0.370709363
262	0.3705232682
263	0.3703939064
264	0.3703300254
265	0.3700299285
266	0.3698294621
267	0.369590488
268	0.369551664
269	0.3694162851
270	0.3690959172
271	0.3687457447
272	0.3685957249
273	0.3683387063
274	0.3683097596
275	0.3682574159
276	0.3682164964
277	0.3682015428
278	0.3680980225
279	0.368016457
280	0.3679732128
281	0.3677202318
282	0.3676404579
283	0.367492623
284	0.367422559
285	0.367303124
286	0.367286381
287	0.3669191145
288	0.3666441132
289	0.3664840914
290	0.3664576735
291	0.366207336
292	0.36607369
293	0.3660608699
294	0.3658945626
295	0.3656182675
296	0.3652994436
297	0.3651406799
298	0.3651185804
299	0.3650255773
300	0.3648195439
301	0.364571297
302	0.3643177165
303	0.3641317175
304	0.3639739174
305	0.3638028055
306	0.3637917204
307	0.3637809985
308	0.3637580453
309	0.363473355
310	0.3632668918
311	0.363117799
312	0.3629019031
313	0.3625256084
314	0.3622109914
315	0.3620420865
316	0.3619708407
317	0.3618765642
318	0.3615702306
319	0.3615609539
320	0.3614933031
321	0.3610747558
322	0.3608801874
323	0.3607254408
324	0.3606200417
325	0.3604947935
326	0.3603025852
327	0.3602768234
